"Offset","Len","Caption"
"0xF287AC","11","version 0.0"
"0xF28929","9","MobaXterm"
"0xF297AA","13","Show Terminal"
"0xF29809","19","Show popup terminal"
"0xF29862","1","-"
"0xF29882","8","Sessions"
"0xF298B9","11","New Session"
"0xF29913","18","Manage my sessions"
"0xF299A7","14","Start X server"
"0xF299F8","14","MobaTextEditor"
"0xF29A6B","13","Documentation"
"0xF29AC3","15","About MobaXterm"
"0xF29B36","14","Exit MobaXterm"
"0xF2B89F","5","About"
"0xF2BC72","12","Simon Tatham"
"0xF2BDDE","39","for PuTTY-based terminal and SSH client"
"0xF2BEA8","32","Personal Edition vx.x Build 3600"
"0xF2C18C","31","Click here for more information"
"0xF2C320","20","Special thanks to..."
"0xF2C40C","9","(license)"
"0xF2C56B","61","We can also modify MobaXterm or develop the plugins you need."
"0xF2C6AD","6","E-Mail"
"0xF2C805","8","Homepage"
"0xF2CAC6","7","Updates"
"0xF2CC2A","9","Changelog"
"0xF2CD70","13","X.org project"
"0xF2CEBD","25","for the embedded X server"
"0xF2CF7E","12","Mesa project"
"0xF2D0CE","39","for the implementation of OpenGL in X11"
"0xF2D19D","6","DejaVu"
"0xF2D2E9","33","for the fixed-width terminal font"
"0xF2D3B2","7","Cygwin,"
"0xF2D4FD","35","and Unix tools from Cygutils plugin"
"0xF2D718","7","Busybox"
"0xF2D93E","7","Button1"
"0xF2D9BA","21","Advanced RDP settings"
"0xF2DC70","2","OK"
"0xF2DD2C","24","Restore default settings"
"0xF2E000","18"," Graphic settings "
"0xF2E10E","19","Auto-adapt graphics"
"0xF2E1CF","17","Display wallpaper"
"0xF2E264","14","Display themes"
"0xF2E2F6","15","Fonts smoothing"
"0xF2E38B","19","Desktop composition"
"0xF2E423","13","Hardware mode"
"0xF2E4AD","14","Multi monitors"
"0xF2E7F8","21"," Connection features "
"0xF2E909","11","Use CredSSP"
"0xF2E9AA","16","Restricted admin"
"0xF2EA4F","24","Remote credentials guard"
"0xF2EAE3","17","Use a web account"
"0xF2EB71","22","Automatic reconnection"
"0xF2ED24","27","Use redirection server name"
"0xF2EE33","30","Redirect only selected drives "
"0xF2F10C","18"," Gateway settings "
"0xF2F624","26","Advanced terminal settings"
"0xF2FD87","21"," Copy/paste settings "
"0xF2FE84","23","Auto-copy selected text"
"0xF308DA","19"," Terminal features "
"0xF3112D","19"," Reconnection keys "
"0xF315F8","14","Folder edition"
"0xF317CC","11","Folder name"
"0xF3187E","1","*"
"0xF31B32","6","Cancel"
"0xF31BE4","28","MobaXterm paste confirmation"
"0xF31D80","58","Warning: Please verify the paste content before proceeding"
"0xF31E9C","110","Please review the content that you are about to paste and make sure it is safe or modify it before proceeding:"
"0xF31F6C","8","Continue"
"0xF3254D","8","Settings"
"0xF3262E","23","Changing permissions..."
"0xF327DF","27","Permissions for file/folder"
"0xF328C5","5","User:"
