"Offset","Len","Hint"
"0xF2969E","9","MobaXterm"
"0xF2BA68","5","Close"
"0xF2DCFE","39","Restore the default expert RDP settings"
"0xF2F982","44","Restore the default expert terminal settings"
"0xF33D29","30","Rename the current color theme"
"0xF33E0E","32","Import a color theme from a file"
"0xF33EF8","40","Export the current color theme to a file"
"0xF33FE7","44","Remove the current color theme from the list"
"0xF3425F","30","Choose the terminal text color"
"0xF34373","36","Choose the terminal background color"
"0xF34511","32","Choose the terminal cursor color"
"0xF3461B","32","Choose the terminal cursor shape"
"0xF34945","9","BoldWhite"
"0xF34A27","5","White"
"0xF34B01","8","BoldCyan"
"0xF34BDE","4","Cyan"
"0xF34CB7","11","BoldMagenta"
"0xF34D97","7","Magenta"
"0xF34E73","8","BoldBlue"
"0xF34F4F","4","Blue"
"0xF35027","10","BoldYellow"
"0xF35105","6","Yellow"
"0xF351DE","9","BoldGreen"
"0xF352BA","5","Green"
"0xF35392","7","BoldRed"
"0xF3546C","3","Red"
"0xF35542","9","BoldBlack"
"0xF3561E","5","Black"
"0xF35704","152","Check this setting if you want to show bold text as brighter in the terminal.<br>If you want to display bold text using bold font, uncheck this setting."
"0xF379A1","4","Redo"
"0xF37A2E","4","Undo"
"0xF37ABB","9","Save File"
"0xF37B7C","23","Reload default template"
"0xF38822","24","MobaXterm version number"
"0xF388DD","93","The ""$DISPLAY"" variable which can be exported from your server to your local MobaXterm client"
"0xF389ED","16","Local IP address"
"0xF38AA7","20","MobaXterm tab number"
"0xF38B59","19","Local computer name"
"0xF38C1B","15","Local user name"
"0xF38CD1","9","Underline"
"0xF39109","25","Status of SSH compression"
"0xF39204","21","Status of SSH-browser"
"0xF392FB","24","Status of X11-forwarding"
"0xF393F7","45","List of SSH jump hosts for the SSH connection"
"0xF3B77E","6","Browse"
"0xF3F970","46","Re-attach this window to MobaXterm main window"
"0xF3FA78","16","Set window title"
"0xF3FB50","21","Enter fullscreen mode"
"0xF3FC40","28","Save terminal output to file"
"0xF3FD1E","21","Print terminal output"
"0xF3FDF6","7","Zoom in"
"0xF3FEC2","8","Zoom out"
"0xF3FF92","43","Put this window on top of all other windows"
"0xF400C9","30","Enable/disable desktop scaling"
"0xF401D4","38","Store the password for this connection"
"0xF402F1","22","Refresh window content"
"0xF403EE","35","Send Ctrl+Alt+Del to remote desktop"
"0xF404FD","33","Fit window content to window size"
"0xF40610","18","Duplicate this tab"
"0xF40702","17","Hide this toolbar"
"0xF40E51","19","Abort file transfer"
"0xF435B2","167","Name of the terminal font
You can choose one of the embedded fonts ""MobaFont"", ""MobaFira"" or ""MobaFanta"", or you can choose any fixed-width font installed in Windows."
"0xF437B5","87","The font size in pixels. On ""High DPI"" screens, the font size is automatically adapted."
"0xF438B8","63","Use this option if you need the terminal font to be always bold"
"0xF443EE","55","Use ClearType engine to display the terminal characters"
"0xF44602","215","Display font ligatures when this feature is present into the chosen font.
This setting only works if you are using a font compatible with ligatures, such as the embedded fonts ""MobaFont"", ""MobaFira"" or ""MobaFanta""."
"0xF447DC","80","Number of rows and columns will be kept upon resize: only font size will change."
"0xF482BA","1"," "
"0xF4897C","7","Move up"
"0xF48A38","9","Move down"
"0xF48AF7","29","Remove selected SSH jump host"
"0xF49437","38","Edit the currently selected macro line"
"0xF49581","41","Insert a new line above the selected line"
"0xF496D6","41","Insert a new line below the selected line"
"0xF4982B","24","Delete the selected line"
"0xF50EC6","64","Do not use a persistent Home directory (use temp folder instead)"
"0xF51230","63","Do not use a persistent ""/"" directory (use temp folder instead)"
"0xF51310","18","Browse Home folder"
"0xF513C4","17","Browse ""/"" folder"
"0xF51473","171","Choose a folder that MobaXterm will use as its HOME directory (/home/mobaxterm). This directory will persist upon MobaXterm restarts, so you can store your SSH keys in it."
"0xF516B9","138","Define the text editor that will be used for text files edition. By default, MobaXterm will use its embedded text editor ""MobaTextEditor""."
"0xF51A5C","76","Select the MobaXterm items shown in the right-click menu of Windows explorer"
"0xF51BB8","162","Configure MobaXterm password management:<br>- Define whether MobaXterm should store passwords<br>- Define a master password<br>- Manage MobaXterm stored passwords"
"0xF51D63","24","Define MobaXterm hotkeys"
